Date,AAD.DE,ADS.DE,ADV.DE,AFX.DE,AIR.DE,ALV.DE,ARL.DE,BAS.DE,BAYN.DE,BC8.DE,BDT.DE,BEI.DE,BMW.DE,BOSS.DE,BVB.DE,BYW6.DE,CBK.DE,COK.DE,COM.DE,CON.DE,DAI.DE,DB1.DE,DBK.DE,DEQ.DE,DEZ.DE,DLG.DE,DPW.DE,DRI.DE,DTE.DE,DUE.DE,EOAN.DE,EVD.DE,EVT.DE,FIE.DE,FME.DE,FNTN.DE,FRA.DE,FRE.DE,G1A.DE,GBF.DE,GFT.DE,GIL.DE,GLJ.DE,GMM.DE,GSC1.DE,HEI.DE,HEN3.DE,HNR1.DE,HOT.DE,IFX.DE,INH.DE,JEN.DE,JUN3.DE,KRN.DE,KU2.DE,LEO.DE,LHA.DE,LIN.DE,LPK.DE,LXS.DE,MAN.DE,MLP.DE,MOR.DE,MRK.DE,MUV2.DE,NDA.DE,NEM.DE,PFV.DE,PUM.DE,QIA.DE,QSC.DE,RAA.DE,RHK.DE,RWE.DE,SAP.DE,SBS.DE,SDF.DE,SGL.DE,SIE.DE,SIX2.DE,SKB.DE,SPR.DE,SZG.DE,SZU.DE,TEG.DE,TKA.DE,TTK.DE,UTDI.DE
2017-01-02,5540,445138,652913,44700,89712,855478,179841,1245318,1217856,49924,33995,173115,774391,140030,104175,20083,6626337,58818,32596,208625,1995651,47290,5657913,53647,191081,241500,1451574,78116,5887148,99870,6957428,59208,1242896,50460,380089,282482,46296,685796,212938,145831,105733,67158,27246,18203,3460,215367,247350,54858,41505,2165265,11070,68825,74520,26035,5306,134944,2405485,0,35209,212942,76736,146926,224683,201509,273988,58585,64893,14488,15050,145477,162364,1827,57657,3706107,1121699,5210,690641,278382,1047129,13043,43770,101423,120702,205841,86552,991270,34812,343565
2017-01-03,5793,641172,383258,70618,136548,1623857,405847,2806564,1774642,73800,47354,381626,1514253,276306,132671,24547,15602528,97530,12689,409079,4142505,170159,15509039,245679,170536,343453,2548784,127215,7079500,185384,10582812,71796,1419569,154895,507886,318323,131138,1066587,504035,237052,142635,44692,39354,42963,3843,545459,409112,106484,82175,3853360,25982,86951,90209,54855,16894,333837,4404452,0,16685,441124,88068,83518,173657,387435,504381,175414,115428,22802,41990,238562,565155,6081,131899,4979070,1801855,11048,1161755,340804,2020846,29616,39833,170292,162085,262279,261308,2108177,10675,553647
2017-01-04,2976,618563,273075,54408,143517,1221389,286759,1955701,2069588,51686,27836,244616,1224694,211102,156140,16691,16591646,101404,14368,316790,2912014,159109,14429132,205281,226345,399545,3020514,159775,9135720,222158,8110881,105695,1447361,100511,501102,307431,107996,956263,423342,166644,112401,49996,36759,80941,8408,559183,295647,120964,58996,3795852,20337,84372,203074,36240,75256,214176,4306517,0,13310,420367,110597,278319,111266,283154,348636,167105,167181,14473,49920,293977,276831,3273,107574,3354236,2067356,15501,920374,268359,1646653,28514,49690,124651,179532,256800,213459,1843087,21701,442415
2017-01-05,3575,739147,197096,48412,190198,1469189,152944,1753933,1922551,64890,21449,227196,967699,427580,91364,53656,13248085,132198,23188,298808,3181036,190216,15983433,132947,216039,384991,3778146,126702,7221612,919954,6821258,97712,948928,67288,524049,364014,85484,903851,385455,158011,142612,33687,37656,49475,2816,373161,249505,215242,67252,2659112,25517,82399,72026,60513,31890,112398,3439520,0,14083,376501,56788,117880,95165,411252,558838,202853,131697,12457,29320,193610,174494,2538,175082,2357164,1617422,9504,790253,472766,1796393,47182,37216,106372,124899,272104,223303,1575940,20284,582406
2017-01-06,1347,641054,246968,27507,91251,965147,207586,1518979,1614471,25030,10250,162129,969606,276617,127122,52830,10229471,106614,17468,531244,2128257,77561,11183917,143228,160882,359222,2302489,104384,7530013,634956,7002514,59298,985921,89654,697152,261085,83062,658607,650062,242138,68018,18897,57561,34709,1935,281121,255181,95482,41805,3083505,17157,89327,82754,45221,20535,151148,6264500,0,10443,183563,31666,140801,54268,235813,527828,100245,85098,12024,15030,217137,136647,2328,72654,3304833,1890644,6999,802081,621430,1452603,29748,60857,86967,125438,140619,414774,1384033,22896,624204
2017-01-09,5103,583147,249514,62225,81273,963965,259430,1398151,1973122,37484,27941,216127,1413820,247632,107924,35326,9219554,85832,14943,611226,2724031,118433,9424443,119396,285864,572826,2638643,155382,8138696,361678,6713309,90933,1601953,52684,2815020,294350,94032,2057512,372337,170865,59134,34108,77943,71097,4011,485441,317869,103867,51364,3832968,24471,74325,60555,52647,8416,157415,11777400,0,5116,342678,37252,57700,110753,270634,428845,192644,178896,27395,17660,212586,247565,2659,118337,2787562,2393595,4866,966482,818676,1564768,28564,53196,147369,218154,191248,282445,1789242,37737,408740
2017-01-10,7904,460627,450085,43976,180414,1079462,243618,1656378,2175344,40146,25804,251458,1252387,245890,129976,32360,13217353,119386,9926,588261,2874266,96981,12886961,108367,406947,522109,2727733,135227,9147763,261108,11885718,78019,1651961,59852,1580662,471475,100515,1130840,632585,221502,73259,23897,136410,123196,856,529739,361287,168495,62555,3436699,22775,78197,92220,35914,8325,194918,7519187,0,23473,546891,48524,53161,236912,260163,372569,126421,122697,30701,25600,232592,242798,3601,143632,3152845,1917100,3709,1432007,488290,2238799,60512,104660,149026,258020,271974,350991,2175676,54173,470625
2017-01-11,3953,412401,356105,123530,117411,1069138,278638,1863541,1453622,59614,10550,508830,1438353,299075,156259,40664,9529297,74460,10195,490284,3541076,42847,10375661,192679,244677,468114,2984476,130141,9500115,253220,26015232,113208,1233333,63127,880120,521974,119052,909249,514770,178572,77665,30567,62793,116714,1871,612872,664679,97453,56531,3423403,26994,87406,109244,37567,4011,557192,4239536,0,36335,369111,31560,249387,87171,403444,440109,162051,108261,22954,25200,408273,235572,2515,134003,7220067,1909354,7548,1982631,639813,2588832,54015,156331,186537,315156,296097,194575,3053121,52106,605346
2017-01-12,4508,534037,306780,163860,131887,1262387,264353,1487913,1839270,43080,14984,378633,2233218,234741,184957,28438,11170219,126456,17926,633210,6891069,63310,9782350,166999,123533,470982,2604394,107926,11429327,212500,21858592,58267,1298418,60606,812314,438244,96622,855402,571280,104257,78982,50943,34287,65824,5130,384434,420485,106023,59298,3681358,15348,65945,101359,61620,7439,416516,4551367,0,32909,347074,56431,78566,126762,431803,489762,449387,56700,12198,13300,331993,154734,3449,156196,7069116,1660287,13911,1211113,371150,2079443,26058,88146,156441,288552,694903,265755,2696396,75583,586905
2017-01-13,9127,487101,233555,59367,116075,1038182,410534,1566144,1770664,27968,11777,287961,1908167,594683,188814,12829,13766479,95950,29604,469513,3851297,30487,13769051,148232,141931,305015,2395196,105985,6525549,213004,12281550,60480,747698,82282,785504,356436,183655,920923,462553,167802,36637,18665,67119,75382,1223,407100,352958,96303,69004,2796723,17214,51791,84028,37340,4974,276404,4783114,0,20235,388100,55131,238444,151608,402853,452562,120012,128157,23250,56470,220476,144546,9900,206159,3477907,1406227,4596,1038894,281452,1938641,30269,63584,106791,213959,341634,237505,1639718,28618,306475
2017-01-16,3876,351401,78054,47879,105547,936286,192285,1215592,1042022,42718,13945,318056,1384090,1143533,161103,33914,8556767,121304,52274,222698,3080777,23919,8743192,110028,135832,266230,1640456,131890,4629061,169524,10568475,50890,604653,73676,629611,384080,75739,882435,266991,78638,59049,12456,42237,70515,3296,354771,316182,91535,47920,2697509,25857,66866,52239,53678,4056,154797,3669779,0,19464,214653,33513,150524,66105,267174,297112,113817,223614,20098,96220,176751,117037,6335,100098,5187701,1099899,5511,665662,268762,1331334,26650,92387,75507,205827,359346,149920,1527511,26468,657652
2017-01-17,4758,433069,204720,39195,161318,1427607,205572,1953765,1724265,35014,15700,619334,1480197,338936,93340,23269,9940301,136470,47993,371774,3341570,59916,12488082,159496,253090,221640,2724104,96099,6412602,154342,8101383,157475,1130871,56595,699252,373512,198389,843793,607578,187690,70517,19474,26946,46035,688,700603,435965,121494,75351,3125606,24113,36839,59735,65523,14576,226776,17845008,0,15886,345418,63794,189955,93411,381001,545357,137111,140295,9854,67310,270030,172013,6692,159939,4234291,1578494,14814,1752443,591640,1695452,63459,60095,117694,185220,491920,222075,1389109,28907,722994
